t,spread,adverse_selection,inventory,net
349,21.17136328704136,-2.366063755786207,-2.341880333821039,16.46341919743409
350,21.25501789091072,-2.366063755786207,-2.3596605539963544,16.529293581128137
351,21.308934463126135,-2.366063755786207,-2.3596605539963544,16.58321015334355
352,21.396107599313765,-2.3665849124158416,-2.3596605539963544,16.669862132901546
353,21.435926365402167,-2.3665849124158416,-2.372139246901138,16.697202206085166
354,21.450582141170912,-2.3665849124158416,-2.372139246901138,16.71185798185391
355,21.498211441132593,-2.386871637877966,-2.3924259723632626,16.718913830891342
356,21.529927361643633,-2.386871637877966,-2.402319045479712,16.740736678285934
357,21.629360360251997,-2.386871637877966,-2.4052090726559983,16.837279649718013
358,21.661616146677506,-2.386871637877966,-2.4052090726559983,16.869535436143522
359,21.695870451214233,-2.386871637877966,-2.4052090726559983,16.90378974068025
360,21.768044279384792,-2.386871637877966,-2.4229884558387442,16.958184185668063
361,21.827746339281006,-2.386871637877966,-2.4229884558387442,17.017886245564277
362,21.962154530556706,-2.386871637877966,-2.4229884558387442,17.152294436839977
363,21.975937569310545,-2.394582557252323,-2.430699375213101,17.1506556368451
364,22.114530523696903,-2.394582557252323,-2.4467082138334084,17.27323975261115
365,22.152464839082924,-2.394582557252323,-2.4510985847678852,17.306783697062695
366,22.18174699903553,-2.394582557252323,-2.451228011196493,17.335936430586692
367,22.23280519298731,-2.394582557252323,-2.4553466032715234,17.382876032463443
368,22.249301085175393,-2.394582557252323,-2.4611031243165518,17.393615403606496
369,22.280748319024262,-2.4050498233099376,-2.4611031243165518,17.41459537139775
370,22.307592153103982,-2.4050498233099376,-2.4611031243165518,17.44143920547747
371,22.404794284554374,-2.4161655437087375,-2.4722188447153517,17.516409896130263
372,22.508164611746352,-2.4161655437087375,-2.4722188447153517,17.61978022332224
373,22.56486667884165,-2.4161655437087375,-2.4723312757924454,17.676369859340447
374,22.593229949456347,-2.4161655437087375,-2.4723312757924454,17.704733129955144
375,22.74053547232529,-2.4161655437087375,-2.4723312757924454,17.85203865282409
376,22.770258600045825,-2.4161655437087375,-2.4723312757924454,17.881761780544622
377,22.79745374166514,-2.4161655437087375,-2.4723312757924454,17.908956922163938
378,22.81973382302017,-2.4212107706659194,-2.4723312757924454,17.926191776561783
379,22.887439685160302,-2.4212107706659194,-2.476252190592319,17.989976723902043
380,22.924629509436276,-2.4212107706659194,-2.476252190592319,18.027166548178016
381,23.033485623466756,-2.448524835712677,-2.5035662556390768,18.08139453211498
382,23.07270113867283,-2.448524835712677,-2.5035662556390768,18.120610047321055
383,23.13278153532384,-2.463578923791366,-2.5035662556390768,18.165636355893376
384,23.211562733019594,-2.463578923791366,-2.516859954206115,18.23112385502209
385,23.234558841894213,-2.463578923791366,-2.516859954206115,18.25411996389671
386,23.255751758564028,-2.463578923791366,-2.516859954206115,18.275312880566524
387,23.368318799502745,-2.477404567795294,-2.516859954206115,18.374054277501312
388,23.47918530136685,-2.477404567795294,-2.551939582042932,18.4498411515286
389,23.515575165874747,-2.477404567795294,-2.551939582042932,18.486231016036495
390,23.57730082595781,-2.477404567795294,-2.551939582042932,18.547956676119558
391,23.619059250185483,-2.477404567795294,-2.552520491253771,18.58913419113639
392,23.65614789141904,-2.477404567795294,-2.55663147937665,18.622111844247065
393,23.689202835828638,-2.5348661360588927,-2.6140930476402486,18.54024365212947
394,23.717581419142682,-2.5348661360588927,-2.6140930476402486,18.568622235443513
395,23.771041043113875,-2.5818159769054914,-2.6610428884868473,18.528182177721508
396,23.798938415941702,-2.5818159769054914,-2.6623754213174946,18.55474701771869
397,23.883284892228613,-2.6087956020269867,-2.6623754213174946,18.6121138688841
398,23.915780629888204,-2.632397585903304,-2.6623754213174946,18.621007622667374
399,23.973486890496492,-2.632397585903304,-2.6623754213174946,18.678713883275663
400,24.04320024722628,-2.632397585903304,-2.6623754213174946,18.74842724000545
401,24.16971206963898,-2.632397585903304,-2.6624061921696898,18.874908291565955
402,24.20055771778826,-2.6634547822925474,-2.6624061921696898,18.87469674332599
403,24.33915199005312,-2.6634547822925474,-2.6624061921696898,19.013291015590852
404,24.414843250791364,-2.6634547822925474,-2.6818784691589084,19.069509999339875
405,24.451792028236625,-2.6634547822925474,-2.6818784691589084,19.106458776785136
406,24.56867247393624,-2.6847463276975345,-2.7031700145638955,19.180756131674777
407,24.60783519759499,-2.6847463276975345,-2.7031700145638955,19.21991885533353
408,24.67298382872192,-2.708569565782778,-2.7031700145638955,19.261244248375213
409,24.69184331632097,-2.708569565782778,-2.705454998148819,19.27781875238934
410,24.720438279654186,-2.708569565782778,-2.705454998148819,19.306413715722556
411,24.758125808028623,-2.708569565782778,-2.71398662510726,19.33556961713855
412,24.821582325865084,-2.708569565782778,-2.7266309268460662,19.386381833236204
413,24.88885331522486,-2.708569565782778,-2.7266309268460662,19.45365282259598
414,24.936088141175887,-2.708569565782778,-2.7266309268460662,19.500887648547007
415,24.962906704653307,-2.708569565782778,-2.7266309268460662,19.527706212024427
416,24.99590514337721,-2.708569565782778,-2.7266309268460662,19.56070465074833
417,25.040288200158994,-2.708569565782778,-2.7266309268460662,19.605087707530114
418,25.13332415546961,-2.708569565782778,-2.72718880198141,19.697565787705383
419,25.1853911437077,-2.708569565782778,-2.7288345353585868,19.747987042566297
420,25.24943876148872,-2.708569565782778,-2.7288345353585868,19.812034660347315
421,25.26882120481362,-2.708569565782778,-2.7354647062912245,19.824786932739578
