t,bound,Exp3,Exp3DoublingTrick,SWExp3
511,184.39910002369498,73.04106446751376,72.62960134163961,74.43880795243922
512,184.57944148491302,73.31822801508207,73.11526772997217,74.43880795243922
513,184.7596069172485,73.19528041475235,73.36146012385393,74.43880795243922
514,184.9395968351557,72.94662429653948,73.4868683961887,74.19015183422636
515,185.1194117505879,73.01794165447632,73.63889728433628,74.45722949081147
516,185.29905217301422,73.21466206165917,73.6076012074949,74.39597371297066
517,185.47851860943683,73.47104811401891,73.91359679632507,74.5225021030817
518,185.65781156440727,73.75577099441898,73.95423517801544,74.80722498348177
519,185.83693154004322,73.93228743914631,74.18520852617468,74.88786630832459
520,186.01587903604485,73.76965556356214,74.05229559718958,74.88786630832459
521,186.19465454971103,74.00338770367597,74.49230138878107,74.88786630832459
522,186.3732585759555,73.90443214723484,74.4249337888449,74.87302195878488
523,186.55169160732297,73.78816089517971,74.16224491342865,74.75675070672975
524,186.72995413400466,74.07525702079431,74.44934103904325,74.75675070672975
525,186.90804664385436,74.07525702079431,74.53188073669986,74.75675070672975
526,187.08596962240378,74.10646646770772,74.57361121453027,75.09906968587268
527,187.2637235528781,74.10776005807901,74.75596365589041,75.2026839272205
528,187.44130891621117,73.97236167033589,74.80206430216225,75.07762559138052
529,187.61872619106083,74.0541112094275,74.80206430216225,75.42367212400598
530,187.7959758538239,74.4739661172423,75.17285760975386,75.7945757567287
531,187.9730583786511,74.62674399602923,75.2357865550648,76.00383868710219
532,188.14997423746175,74.79875532324195,75.5861898591341,76.39287771886069
533,188.3267238999587,74.79875532324195,76.21389955156951,76.39287771886069
534,188.50330783364262,74.95120132982993,76.0398718964895,76.5422369585894
535,188.67972650382657,75.22327947184908,75.99642981958732,76.49519718922738
536,188.85598037365017,75.42856961358814,76.1264330032223,76.7790645296003
537,189.03206990409404,75.62504673664682,76.0894588363247,76.7790645296003
538,189.20799555399358,76.05581649648434,76.3917785688991,77.02464978210611
539,189.38375778005306,76.21549650457581,76.55439627568921,77.65144882470531
540,189.55935703685947,76.1889377835679,76.55439627568921,77.65144882470531
541,189.73479377689617,76.47519612363277,76.70243452278976,77.62938671216602
542,189.91006845055654,76.42826231038117,76.87397885544414,77.8009310448204
543,190.08518150615745,76.70891653402828,77.38406151798597,78.0815852684675
544,190.26013338995267,77.1014554224185,77.75794443423308,78.42320152418273
545,190.43492454614605,77.27020013452278,77.43249013853773,78.40369695955536
546,190.60955541690478,77.27020013452278,77.43249013853773,78.40369695955536
547,190.78402644237238,77.39019312407333,77.77053525487094,78.74174207588857
548,190.9583380606817,77.39019312407333,77.77053525487094,78.99379714236022
549,191.1324907079677,77.8871026619974,78.32816836390037,79.29160814855777
550,191.30648481838014,78.12378304164997,78.32816836390037,79.52828852821034
551,191.48032082409634,78.12378304164997,78.53269539881859,79.7293355872875
552,191.65399915533362,78.20108853669183,78.85094099060063,79.58316855475596
553,191.8275202403617,78.37123036208533,78.85094099060063,80.09705186005414
554,192.00088450551505,78.48505313465932,78.96476376317463,79.91948429383615
555,192.17409237520516,78.48630471980539,78.96476376317463,79.90737431034415
556,192.34714427193256,78.7976455358467,79.13625162505735,80.20658704737343
557,192.52004061629896,79.19800666892417,79.17798092695733,80.56062057560752
558,192.692781827019,79.55779815688084,79.5532358309244,81.19523220938208
559,192.86536832093236,79.41462273443551,79.36749923588661,80.99192490427214
560,193.0378005130152,79.1716297556057,79.52977576374042,80.99192490427214
561,193.210078816392,79.34472742856286,79.81179135302477,81.17523089772106
562,193.382203642347,79.28843640485746,79.80577060961048,81.04387696708608
563,193.5541754003357,79.28843640485746,80.00422516248523,81.36738196060975
564,193.72599449799625,79.22223417264297,79.8779178548906,81.4815747392575
565,193.89766134116064,79.04893240115388,79.89370607662465,81.47981415917786
566,194.069176333866,79.47179909867441,80.4573525915821,81.47981415917786
567,194.2405398783656,79.51706616676961,80.81370788404064,81.56215848829504
568,194.41175237513986,79.7620038902117,81.15462734962017,81.99161604593644
569,194.58281422290727,80.1049684945234,81.69719043889233,82.40043409001146
570,194.7537258186354,80.29133939588144,81.87793050904793,82.72614752649719
571,194.92448755755126,80.29133939588144,81.87793050904793,82.5329982968504
572,195.09509983315243,80.84611076082984,82.28593423378453,82.81912241028965
573,195.26556303721725,80.84611076082984,82.48211598921051,82.58703290570497
574,195.43587755981557,80.84611076082984,82.4900338161845,82.59495073267897
575,195.606043789319,80.87388020494978,82.4900338161845,82.73693483773798
576,195.7760621124113,81.02850353854683,82.84411500616608,82.9815981630295
577,195.94593291409873,81.10066438451872,83.22246181620426,82.9815981630295
578,196.11565657772007,81.43036083309693,83.60225998812376,83.0902181436378
579,196.2852334849568,81.59134718416999,83.9470241113703,83.0902181436378
580,196.45466401584298,82.17824728426677,84.0792400493603,83.67711824373458
581,196.62394854877547,82.75665926741459,84.45106333032919,84.32360755458944
582,196.79308746052354,82.94544297672246,84.35987074269514,84.32360755458944
583,196.96208112623864,83.25364627374245,84.618515099369,84.56538194582293
584,197.13092991946436,82.98584373525887,84.34283241718424,84.28969926363817
585,197.29963421214578,82.97113568307736,84.1221528394197,84.06901968587363
586,197.46819437463918,83.2044620318892,84.57227531715125,84.48947151057064
587,197.6366107757215,83.75810686458112,85.18107782834409,84.62609562998091
588,197.80488378259975,83.75810686458112,85.07789804853206,84.69011762123489
589,197.9730137609203,83.97365366176746,85.26198604730251,84.84772959917291
590,198.14100107477833,83.97365366176746,85.48278112096204,84.84772959917291
591,198.30884608672667,83.83161380675006,85.51582415123517,85.00611519850617
592,198.4765491577854,84.07348819277132,85.48645121102521,85.24798958452743
593,198.64411064745053,84.19169790919085,85.80640744328338,85.24798958452743
594,198.81153091370308,84.19169790919085,85.80640744328338,85.24798958452743
595,198.9788103130182,84.37941952149868,85.80640744328338,85.43571119683526
596,199.1459492003737,84.40706110619573,85.80640744328338,85.43571119683526
597,199.3129479292592,84.64857241777338,86.21741008176258,85.5454187731799
598,199.47980685168446,84.79096580318009,86.35980346716929,85.66989071150289
