condition,algorithm,t,cum_pnl
stationary,Exp3,582,32.64683769665887
stationary,Exp3,583,32.6550197017424
stationary,Exp3,584,32.72560032922709
stationary,Exp3,585,32.81443338231828
stationary,Exp3,586,32.91671606472273
stationary,Exp3,587,32.885137131373064
stationary,Exp3,588,32.937525802453
stationary,Exp3,589,32.988426016314726
stationary,Exp3,590,33.00784214415963
stationary,Exp3,591,33.15643677520945
stationary,Exp3,592,33.21754029879951
stationary,Exp3,593,33.36085875444627
stationary,Exp3,594,33.42531904144572
stationary,Exp3,595,33.561952821361004
stationary,Exp3,596,33.67226029488317
stationary,Exp3,597,33.64497882868843
stationary,Exp3,598,33.69102006085097
stationary,Exp3,599,33.66062299710528
stationary,Exp3,600,33.69107125588898
stationary,Exp3,601,33.72032258455811
stationary,Exp3,602,33.70376240838971
stationary,Exp3,603,33.68546634323876
stationary,Exp3,604,33.769133347453256
stationary,Exp3,605,33.896963914319045
stationary,Exp3,606,33.95970617018553
stationary,Exp3,607,33.938955350614265
stationary,Exp3,608,33.96941153832319
stationary,Exp3,609,34.02423791089262
stationary,Exp3,610,34.18110189619272
stationary,Exp3,611,34.198348917596924
stationary,Exp3,612,34.26734650780854
stationary,Exp3,613,34.33372312139786
stationary,Exp3,614,34.42058251367177
stationary,Exp3,615,34.558038149639856
stationary,Exp3,616,34.60385486917488
stationary,Exp3,617,34.68092875797491
stationary,Exp3,618,34.66860044274435
stationary,Exp3,619,34.748960449055424
stationary,Exp3,620,34.781712436964966
stationary,Exp3,621,34.87487925475322
stationary,Exp3,622,34.966398027304095
stationary,Exp3,623,35.071764841784194
stationary,Exp3,624,35.02836464697998
stationary,Exp3,625,35.093368060321176
stationary,Exp3,626,35.22324833770304
stationary,Exp3,627,35.194601272885244
stationary,Exp3,628,35.287133217926765
stationary,Exp3,629,35.43609068052219
stationary,Exp3,630,35.55894822158574
stationary,Exp3,631,35.65641076507235
stationary,Exp3,632,35.71391527297548
stationary,Exp3,633,35.84792423582064
stationary,Exp3,634,35.95186171418279
stationary,Exp3,635,36.05516604789938
stationary,Exp3,636,36.17613508980073
stationary,Exp3,637,36.19919325585823
stationary,Exp3,638,36.24443766001878
stationary,Exp3,639,36.25945575576548
stationary,Exp3,640,36.33680306435224
stationary,Exp3,641,36.3901532950014
stationary,Exp3,642,36.50518956973037
stationary,Exp3,643,36.5724096094713
stationary,Exp3,644,36.68199163760373
stationary,Exp3,645,36.76769231923117
stationary,Exp3,646,36.873820442102854
stationary,Exp3,647,36.90783326872406
stationary,Exp3,648,36.99736518374026
stationary,Exp3,649,37.13085469884396
stationary,Exp3,650,37.12206447335917
stationary,Exp3,651,37.11411802046444
stationary,Exp3,652,37.22347313603885
stationary,Exp3,653,37.34500820369392
stationary,Exp3,654,37.437257888383
stationary,Exp3,655,37.59762139402525
stationary,Exp3,656,37.64198081838472
stationary,Exp3,657,37.79380140803035
stationary,Exp3,658,37.876890307469715
stationary,Exp3,659,37.87473264585128
stationary,Exp3,660,37.949065566101915
stationary,Exp3,661,38.05431122251504
stationary,Exp3,662,38.18053077462128
stationary,Exp3,663,38.15670936006346
stationary,Exp3,664,38.190552319366184
stationary,Exp3,665,38.269948563141064
stationary,Exp3,666,38.30948594594928
stationary,Exp3,667,38.38332178395565
stationary,Exp3,668,38.524984417505095
stationary,Exp3,669,38.580384781850555
stationary,Exp3,670,38.60327621129257
stationary,Exp3,671,38.668818116047866
stationary,Exp3,672,38.804685664681834
stationary,Exp3,673,38.743287188222205
stationary,Exp3,674,38.75886110791697
stationary,Exp3,675,38.81611503305579
stationary,Exp3,676,38.90211576869974
stationary,Exp3,677,38.88431265490079
stationary,Exp3,678,39.00940666612648
stationary,Exp3,679,39.058535990324884
stationary,Exp3,680,39.06332653768732
stationary,Exp3,681,39.13677721105324
stationary,Exp3,682,39.179270846813836
stationary,Exp3,683,39.22036588222975
stationary,Exp3,684,39.20236633613463
stationary,Exp3,685,39.217454461757995
stationary,Exp3,686,39.276774826939025
stationary,Exp3,687,39.346242871328236
stationary,Exp3,688,39.50751547934932
stationary,Exp3,689,39.539121249637375
stationary,Exp3,690,39.53508772189222
stationary,Exp3,691,39.5010103245339
stationary,Exp3,692,39.57107282444611
stationary,Exp3,693,39.69166971739701
stationary,Exp3,694,39.759190586377784
stationary,Exp3,695,39.74429247179309
stationary,Exp3,696,39.819663248252986
stationary,Exp3,697,39.919409531468325
stationary,Exp3,698,39.98569302168151
stationary,Exp3,699,39.98307161463648
stationary,Exp3,700,40.08717621057362
stationary,Exp3,701,40.242383982191996
stationary,Exp3,702,40.32833822961854
stationary,Exp3,703,40.39032904864927
stationary,Exp3,704,40.407062109391866
stationary,Exp3,705,40.51858406720295
stationary,Exp3,706,40.618021987106296
stationary,Exp3,707,40.64212012805272
stationary,Exp3,708,40.72967585029776
stationary,Exp3,709,40.79397697347743
stationary,Exp3,710,40.92697745984005
stationary,Exp3,711,41.0521312729972
stationary,Exp3,712,41.15095454326103
stationary,Exp3,713,41.24447758898757
stationary,Exp3,714,41.27253570872885
stationary,Exp3,715,41.36012685492871
stationary,Exp3,716,41.353690221473826
stationary,Exp3,717,41.49915158328678
stationary,Exp3,718,41.588448096748415
stationary,Exp3,719,41.63780468174532
stationary,Exp3,720,41.70617498729349
stationary,Exp3,721,41.813642149682956
stationary,Exp3,722,41.84430528439539
stationary,Exp3,723,41.903552280098836
stationary,Exp3,724,41.93433738051783
stationary,Exp3,725,42.001214769845824
stationary,Exp3,726,42.06572604711448
stationary,Exp3,727,42.04224246680585
stationary,Exp3,728,42.1614629947026
stationary,Exp3,729,42.14575027931599
